swadesh.language,swadesh.english,HScollapsed,poabodypartmerge,swadesh.twohands,swadesh.pmv
Swedish,long,n1,Arm,false,Z_back
Swedish,look_for,n2,Head,false,Y_down
Swedish,man,y4,Head,false,Z_front
Swedish,meat,y0,Head,false,X_right
Swedish,moon,n4,Head,false,Y_down
Swedish,mother,y4,Torso,false,Y_up
Swedish,mountain,y0,Hand,false,Z_front
Swedish,name,n1,Hand,false,Z_front
Swedish,narrow,y4,Lateral,true,X_left
Swedish,new,n2,Vertical,false,UNDEF
Swedish,night,y4,Head,true,Y_down
Swedish,not,y4,Horizontal,true,X_right
Swedish,old,n4,Head,false,X_right
Swedish,other,y2,Lateral,false,X_right
Swedish,person,n4,Hand,true,Y_down
Swedish,pig,n4,Hand,false,UNDEF
Swedish,play,y4,Lateral,true,X_right
Swedish,rain,y4,Vertical,true,UNDEF
Swedish,red,n1,Head,false,Z_back
Swedish,river,y4,Head,false,Z_front
Swedish,salt,n1,Hand,false,Y_down
Swedish,sea,y4,Horizontal,false,Z_front
Swedish,sharp,y0,Head,false,Y_down
Swedish,short,y1,Lateral,true,X_left
Swedish,singing,y4,Head,true,Y_down
Swedish,sister,y1,Horizontal,true,X_right
Swedish,sit,n2,Hand,false,Y_down
Swedish,smooth,y4,Hand,false,X_right
Swedish,snake,n2,Head,false,UNDEF
Swedish,snow,y4,Horizontal,true,Y_down
Swedish,star,n1,Lateral,true,X_right
Swedish,stone,y0,Hand,false,X_right
Swedish,string,n1,Lateral,true,X_right
Swedish,sun,y4,Head,false,X_left
Swedish,tail,y1,Hand,false,Y_up
Swedish,thin,y4,Lateral,true,X_right
Swedish,tree,n1,Lateral,true,Y_up
Swedish,vomit,y4,Head,true,Y_down
Swedish,warm,y4,Head,false,X_right
Swedish,water,y4,Head,false,Y_down
Swedish,wet,n0,Horizontal,true,UNDEF
Swedish,what,y4,Horizontal,true,X_left
Swedish,when,n2,Horizontal,false,X_left
Swedish,where,n1,Vertical,false,X_left
Swedish,white,n1,Hand,false,UNDEF
Swedish,who,n2,Vertical,false,UNDEF
Swedish,wide,y4,Lateral,true,X_right
Swedish,wife,y1,Hand,false,UNDEF
Swedish,wind,y0,Lateral,true,X_left
Swedish,with,y4,Lateral,true,X_left
Swedish,woman,n4,Hand,false,UNDEF
Swedish,wood,y4,Arm,false,Y_down
Swedish,work,n0,Hand,false,X_left
Swedish,worm,n1,Hand,false,Z_front
Swedish,year,n1,Hand,false,Y_down
Swedish,yellow,y1,Hand,false,Z_front
Lithuanian,all,y4,Lateral,true,Y_down
Lithuanian,animal,n4,Torso,false,UNDEF
Lithuanian,bad,n1,Vertical,false,Z_front
Lithuanian,because,n1,Vertical,false,Z_front
Lithuanian,bird,y1,Head,false,UNDEF
Lithuanian,black,y4,Head,false,UNDEF
Lithuanian,blood,y4,Hand,false,Y_down
Lithuanian,boring,y2,Head,false,UNDEF
Lithuanian,brother,n1,Lateral,true,Z_front
Lithuanian,bug,y4,Horizontal,false,Z_front
Lithuanian,cat,y1,Head,true,Z_back
Lithuanian,child,n2,Vertical,false,UNDEF
Lithuanian,correct,y1,Vertical,true,Z_front
Lithuanian,count,y4,Lateral,true,X_left
Lithuanian,dance,n2,Vertical,true,UNDEF
Lithuanian,day,y4,Lateral,true,Y_down
Lithuanian,die,y4,Hand,false,Z_back
Lithuanian,dirty,y0,Head,false,X_left
Lithuanian,dog,y1,Head,false,Y_down
Lithuanian,dry,y0,Horizontal,true,X_left
Lithuanian,dust,y1,Hand,false,UNDEF
Lithuanian,earth,y4,Hand,false,UNDEF
Lithuanian,egg,y1,Head,false,Z_back
Lithuanian,father,n2,Head,false,Y_down
Lithuanian,feather,n4,Horizontal,true,UNDEF
Lithuanian,fire,n2,Vertical,true,Y_up
Lithuanian,fish,y4,Horizontal,false,X_left
Lithuanian,flower,y1,Head,false,UNDEF
Lithuanian,full,y4,Hand,false,Z_front
Lithuanian,good,y0,Vertical,false,Z_front
Lithuanian,grass,y4,Head,true,Y_up
Lithuanian,grease,y4,Hand,false,Z_back
Lithuanian,green,y0,Head,false,Y_down
Lithuanian,heavy,y1,Head,false,UNDEF
Lithuanian,how,y4,Lateral,true,UNDEF
Lithuanian,husband,y1,Hand,false,X_left
Lithuanian,ice,y0,Lateral,true,X_left
Lithuanian,if,y0,Head,false,UNDEF
Lithuanian,kill,n2,Hand,false,Y_up
Lithuanian,laugh,n2,Head,false,UNDEF
Lithuanian,leaf,y1,Hand,false,Z_front
Lithuanian,lie,n1,Head,false,UNDEF
Lithuanian,live,y4,Torso,false,Z_back
Lithuanian,long,n1,Lateral,true,X_right
Lithuanian,look_for,n2,Vertical,true,Y_down
Lithuanian,man,n4,Head,false,Y_down
Lithuanian,meat,n1,Hand,false,Z_back
Lithuanian,moon,y1,Vertical,false,Y_down
Lithuanian,mother,y4,Head,false,Z_back
Lithuanian,mountain,y4,Horizontal,true,Y_down
Lithuanian,name,y0,Head,false,X_right
Lithuanian,narrow,y4,Horizontal,true,Z_front
